,name,last_name,first_name,Team,Average,Price,Pos,id
193,Matteo Darmian,Darmian,Matteo,MUN,0.0,4.9,D,230
194,Phil Jones,Jones,Phil,MUN,0.0,4.8,D,231
195,Axel Tuanzebe,Tuanzebe,Axel,MUN,0.1,4.4,D,481
196,Brandon Williams,Williams,Brandon,MUN,0.6,4.1,D,549
197,Matt Ritchie,Ritchie,Matt,NEW,0.5,5.3,D,251
198,Fabian Schar,Schar,Fabian,NEW,2.4,5.0,D,252
199,DeAndre Yedlin,Yedlin,DeAndre,NEW,0.4,4.4,D,253
200,Federico Fernandez,Fernandez,Federico,NEW,3.2,4.5,D,254
201,Paul Dummett,Dummett,Paul,NEW,0.5,4.4,D,255
202,Javier Manquillo,Manquillo,Javier,NEW,0.8,4.3,D,256
203,Florian Lejeune,Lejeune,Florian,NEW,0.4,4.4,D,257
204,Jamaal Lascelles,Lascelles,Jamaal,NEW,2.8,4.3,D,258
205,Ciaran Clark,Clark,Ciaran,NEW,0.6,4.3,D,259
206,Danny Rose,Rose,Danny,NEW,0.4,5.3,D,332
207,Jetro Willems,Willems,Jetro,NEW,1.7,4.4,D,498
208,Emil Krafth,Krafth,Emil,NEW,0.3,4.3,D,519
209,Kelland Watts,Watts,Kelland,NEW,0.0,3.9,D,599
210,Liam Gibson,Gibson,Liam,NEW,0.0,4.0,D,610
211,Timm Klose,Klose,Timm,NOR,0.0,4.3,D,272
212,Ben Godfrey,Godfrey,Ben,NOR,0.8,4.4,D,273
213,Maximillian Aarons,Aarons,Maximillian,NOR,1.5,4.3,D,274
214,Christoph Zimmermann,Zimmermann,Christoph,NOR,1.3,4.4,D,275
215,Jamal Lewis,Lewis,Jamal,NOR,1.5,4.4,D,276
216,Grant Hanley,Hanley,Grant,NOR,0.4,4.0,D,277
217,Sam Byram,Byram,Sam,NOR,0.0,4.4,D,454
218,Philip Heise,Heise,Philip,NOR,0.0,3.9,D,484
219,Akin Famewo,Famewo,Akin,NOR,0.0,4.0,D,552
220,Enda Stevens,Stevens,Enda,SHU,4.0,5.1,D,291
221,Kieron Freeman,Freeman,Kieron,SHU,0.0,4.2,D,292
222,Jack O'Connell,O'Connell,Jack,SHU,3.1,4.7,D,293
223,George Baldock,Baldock,George,SHU,4.1,5.1,D,294
224,John Egan,Egan,John,SHU,3.0,4.6,D,295
225,Richard Stearman,Stearman,Richard,SHU,0.0,3.9,D,296
226,John Lundstram,Lundstram,John,SHU,4.5,4.9,D,297
227,Chris Basham,Basham,Chris,SHU,2.8,4.5,D,423
228,Phil Jagielka,Jagielka,Phil,SHU,0.1,4.2,D,444
229,Jack Robinson,Jack Robinson,,SHU,0.0,4.0,D,611
230,Panagiotis Retsos,Retsos,Panagiotis,SHU,0.0,4.5,D,625
231,Jannik Vestergaard,Vestergaard,Jannik,SOU,2.3,4.6,D,304
232,Ryan Bertrand,Bertrand,Ryan,SOU,1.4,4.8,D,305
233,Yan Valery,Valery,Yan,SOU,0.2,4.6,D,306
234,Jan Bednarek,Bednarek,Jan,SOU,1.7,4.4,D,307
235,Jack Stephens,Stephens,Jack,SOU,2.7,4.5,D,308
236,Maya Yoshida,Yoshida,Maya,SOU,0.0,4.2,D,310
237,Kayne Ramsay,Ramsay,Kayne,SOU,0.0,3.9,D,311
238,Kyle Walker-Peters,Walker-Peters,Kyle,SOU,0.1,4.4,D,337
239,Wesley Hoedt,Hoedt,Wesley,SOU,0.0,4.2,D,485
240,Kevin Danso,Danso,Kevin,SOU,0.2,4.2,D,532
241,Ben Davies,Davies,Ben,TOT,0.2,5.3,D,329
242,Jan Vertonghen,Vertonghen,Jan,TOT,2.6,5.2,D,330
243,Toby Alderweireld,Alderweireld,Toby,TOT,2.2,5.3,D,331
244,Davinson Sanchez,Sanchez,Davinson,TOT,1.3,5.3,D,333
245,Kieran Trippier,Trippier,Kieran,TOT,0.0,5.5,D,334
246,Juan Foyth,Foyth,Juan,TOT,0.1,4.8,D,335
247,Serge Aurier,Aurier,Serge,TOT,4.0,5.0,D,336
248,Japhet Tanganga,Tanganga,Japhet,TOT,0.3,4.1,D,583
249,Jose Holebas,Holebas,Jose,WAT,0.3,4.6,D,353
250,Christian Kabasele,Kabasele,Christian,WAT,3.1,4.3,D,354
251,Adam Masina,Masina,Adam,WAT,1.1,4.3,D,355
252,Adrian Mariappa,Mariappa,Adrian,WAT,0.4,4.2,D,356
253,Kiko Femenia,Kiko Femenia,,WAT,1.4,4.2,D,465
254,Craig Cathcart,Cathcart,Craig,WAT,2.5,4.3,D,358
255,Daryl Janmaat,Janmaat,Daryl,WAT,0.4,4.0,D,359
256,Marc Navarro,Navarro,Marc,WAT,0.0,3.9,D,360
257,Sebastian Prodl,Prodl,Sebastian,WAT,0.0,3.9,D,361
258,Craig Dawson,Dawson,Craig,WAT,1.4,4.8,D,439
259,Dimitri Foulquier,Foulquier,Dimitri,WAT,0.0,4.0,D,542
260,Aaron Cresswell,Cresswell,Aaron,WHU,2.6,4.6,D,376
261,Angelo Ogbonna,Ogbonna,Angelo,WHU,2.5,4.5,D,377
262,Arthur Masuaku,Masuaku,Arthur,WHU,0.4,4.2,D,378
