last_name,first_name,Team,29,Average,30,Average,31,Average,32,Average,33,Average,34,Average,35,Average,36,Average,37,Average,38,Average,Price,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Schelotto, Ezequiel,BHA,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,£4.0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
Lamptey, Tariq,BHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Mee, Ben,BUR,4.1,4.1,2.3,3.2,3.2,3.2,2.7,3.1,2.8,3.0,3.2,3.1,2.7,3.0,2.7,3.0,2.6,2.9,3.3,3.0,£5.0,0.820,0.640,0.640,0.620,0.600,0.620,0.600,0.600,0.580,0.600
Tarkowski, James,BUR,5.1,5.1,3.1,4.1,4.1,4.1,3.5,4.0,3.7,3.9,4.2,4.0,3.5,3.9,3.5,3.8,3.5,3.8,4.2,3.8,£5.1,1.000,0.804,0.804,0.784,0.765,0.784,0.765,0.745,0.745,0.745
Lowton, Matthew,BUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.5,2.3,0.7,2.3,0.9,2.2,1.1,2.8,1.2,£4.2,0.000,0.000,0.000,0.000,0.000,0.119,0.167,0.214,0.262,0.286
Bardsley, Phil,BUR,1.8,1.8,0.9,1.4,1.2,1.3,1.0,1.2,1.1,1.2,1.3,1.2,1.0,1.2,1.0,1.2,1.0,1.1,1.3,1.2,£4.3,0.419,0.326,0.302,0.279,0.279,0.279,0.279,0.279,0.256,0.279
Taylor, Charlie,BUR,4.8,4.8,2.9,3.8,3.8,3.8,3.2,3.7,3.4,3.6,3.9,3.7,3.2,3.6,3.2,3.5,3.2,3.5,3.9,3.5,£4.3,1.116,0.884,0.884,0.860,0.837,0.860,0.837,0.814,0.814,0.814
Long, Kevin,BUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Gibson, Ben,BUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£3.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pieters, Erik,BUR,1.5,1.5,0.8,1.2,1.1,1.1,0.9,1.1,0.9,1.0,1.1,1.0,0.9,1.0,0.9,1.0,0.8,1.0,1.1,1.0,£4.2,0.357,0.286,0.262,0.262,0.238,0.238,0.238,0.238,0.238,0.238
Driscoll-Glennon, Anthony,BUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£3.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Koiki, Abd-Al-Ali Morakinyo Olaposi,BUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Alonso, Marcos,CHE,2.7,2.7,2.9,2.8,0.0,1.9,2.7,2.1,2.3,2.1,2.2,2.1,2.1,2.1,2.7,2.2,2.2,2.2,1.9,2.2,£6.0,0.450,0.467,0.317,0.350,0.350,0.350,0.350,0.367,0.367,0.367
Rüdiger, Antonio,CHE,1.0,1.0,1.1,1.0,0.0,0.7,1.0,0.8,0.8,0.8,0.8,0.8,0.7,0.8,1.0,0.8,0.8,0.8,0.7,0.8,£6.0,0.167,0.167,0.117,0.133,0.133,0.133,0.133,0.133,0.133,0.133
Azpilicueta, César,CHE,3.8,3.8,4.0,3.9,0.0,2.6,3.8,2.9,3.3,3.0,3.2,3.0,3.0,3.0,3.8,3.1,3.1,3.1,2.8,3.1,£5.8,0.655,0.672,0.448,0.500,0.517,0.517,0.517,0.534,0.534,0.534
Emerson,,CHE,0.3,0.3,0.3,0.3,0.0,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,£5.4,0.056,0.056,0.037,0.037,0.037,0.037,0.056,0.056,0.056,0.056
Christensen, Andreas,CHE,0.0,0.0,1.3,0.6,0.0,0.4,1.2,0.6,1.0,0.7,0.9,0.7,0.9,0.8,1.2,0.8,0.9,0.8,0.8,0.8,£4.9,0.000,0.122,0.082,0.122,0.143,0.143,0.163,0.163,0.163,0.163
Zappacosta, Davide,CHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Zouma, Kurt,CHE,1.6,1.6,1.7,1.6,0.0,1.1,1.6,1.2,1.3,1.2,1.3,1.2,1.2,1.2,1.6,1.3,1.3,1.3,1.1,1.3,£4.7,0.340,0.340,0.234,0.255,0.255,0.255,0.255,0.277,0.277,0.277
James, Reece,CHE,1.3,1.3,1.4,1.4,0.0,0.9,1.3,1.0,1.1,1.0,1.0,1.0,0.9,1.0,1.3,1.0,1.0,1.0,0.9,1.0,£5.0,0.260,0.280,0.180,0.200,0.200,0.200,0.200,0.200,0.200,0.200
Tomori, Fikayo,CHE,3.8,3.8,4.0,3.9,0.0,2.6,3.8,2.9,3.3,3.0,3.2,3.0,3.0,3.0,3.8,3.1,3.1,3.1,2.8,3.1,£4.3,0.884,0.907,0.605,0.674,0.698,0.698,0.698,0.721,0.721,0.721
Guehi, Addji Keaninkin Marc-Israel,CHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
van Aanholt, Patrick,CRY,4.5,4.5,3.7,4.1,4.1,4.1,4.0,4.1,3.9,4.0,4.4,4.1,4.7,4.2,4.9,4.3,3.3,4.2,5.6,4.3,£5.5,0.818,0.745,0.745,0.745,0.727,0.745,0.764,0.782,0.764,0.782
Tomkins, James,CRY,0.0,0.0,0.0,0.0,2.3,0.8,2.3,1.2,2.2,1.4,2.5,1.6,3.0,1.8,2.9,1.9,1.8,1.9,3.5,2.0,£5.0,0.000,0.000,0.160,0.240,0.280,0.320,0.360,0.380,0.380,0.400
Sakho, Mamadou,CRY,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,£5.0,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020
Ward, Joel,CRY,1.7,1.7,1.3,1.5,1.4,1.5,1.4,1.5,1.4,1.4,1.6,1.5,1.9,1.5,1.8,1.6,1.1,1.5,2.3,1.6,£4.3,0.395,0.349,0.349,0.349,0.326,0.349,0.349,0.372,0.349,0.372
Dann, Scott,CRY,0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.6,0.5,0.5,0.5,0.8,0.6,£4.3,0.140,0.140,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.140
Kelly, Martin,CRY,3.7,3.7,3.0,3.4,3.3,3.3,3.3,3.3,3.2,3.3,3.6,3.4,4.1,3.5,4.0,3.5,2.7,3.4,4.7,3.6,£4.2,0.881,0.810,0.786,0.786,0.786,0.810,0.833,0.833,0.810,0.857
Cahill, Gary,CRY,2.8,2.8,2.2,2.5,2.5,2.5,2.4,2.5,2.3,2.4,2.7,2.5,3.2,2.6,3.0,2.6,2.0,2.6,3.6,2.7,£4.4,0.636,0.568,0.568,0.568,0.545,0.568,0.591,0.591,0.591,0.614
Woods, Sam,CRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Mitchell, Tyrick,CRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Digne, Lucas,EVE,0.0,0.0,3.7,1.8,0.0,1.2,3.5,1.8,3.6,2.2,2.9,2.3,2.3,2.3,4.9,2.6,2.8,2.6,3.7,2.7,£5.8,0.000,0.310,0.207,0.310,0.379,0.397,0.397,0.448,0.448,0.466
Mina, Yerry,EVE,2.4,2.4,3.1,2.8,0.0,1.8,2.9,2.1,3.0,2.3,2.4,2.3,1.9,2.2,4.3,2.5,2.2,2.5,3.1,2.5,£5.3,0.453,0.528,0.340,0.396,0.434,0.434,0.415,0.472,0.472,0.472
Keane, Michael,EVE,2.0,2.0,2.6,2.3,0.0,1.5,2.5,1.8,2.5,1.9,2.0,1.9,1.6,1.9,3.8,2.1,1.9,2.1,2.6,2.2,£5.2,0.385,0.442,0.288,0.346,0.365,0.365,0.365,0.404,0.404,0.423
Coleman, Seamus,EVE,0.0,0.0,0.8,0.4,0.0,0.3,0.7,0.4,0.7,0.4,0.6,0.5,0.6,0.5,1.3,0.6,0.6,0.6,0.8,0.6,£5.3,0.000,0.075,0.057,0.075,0.075,0.094,0.094,0.113,0.113,0.113
