last_name,first_name,Team,29,Average,30,Average,31,Average,32,Average,33,Average,34,Average,35,Average,36,Average,37,Average,38,Average,Price,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Johnson, Tyreke,SOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Slattery, Callum,SOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Oriol Romeu,,SOU,1.2,1.2,0.8,1.0,0.0,0.7,1.0,0.8,0.8,0.8,0.9,0.8,0.8,0.8,1.0,0.8,1.0,0.8,1.3,0.9,£4.3,0.279,0.233,0.163,0.186,0.186,0.186,0.186,0.186,0.186,0.209
Djenepo, Moussa,SOU,1.1,1.1,0.8,1.0,0.0,0.6,0.9,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.9,0.8,0.9,0.8,1.1,0.8,£5.2,0.212,0.192,0.115,0.135,0.135,0.135,0.135,0.154,0.154,0.154
Boufal, Sofiane,SOU,0.6,0.6,0.6,0.6,0.0,0.4,0.6,0.4,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.7,0.6,£5.5,0.109,0.109,0.073,0.073,0.091,0.091,0.091,0.091,0.091,0.109
Smallbone, William,SOU,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,£4.5,0.000,0.000,0.000,0.000,0.022,0.022,0.022,0.022,0.022,0.022
Son, Heung-Min,TOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1.1,7.9,2.1,6.5,2.6,6.5,3.1,6.4,3.4,£9.8,0.000,0.000,0.000,0.000,0.000,0.112,0.214,0.265,0.316,0.347
Eriksen, Christian,TOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£8.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Alli, Bamidele,TOT,5.5,5.5,6.5,6.0,6.0,6.0,6.5,6.1,6.8,6.3,5.6,6.1,6.6,6.2,5.4,6.1,5.4,6.0,5.3,6.0,£8.3,0.663,0.723,0.723,0.735,0.759,0.735,0.747,0.735,0.723,0.723
Lucas Moura,,TOT,2.3,2.3,2.9,2.6,2.6,2.6,3.1,2.7,3.1,2.8,2.3,2.7,3.0,2.8,2.2,2.7,2.3,2.6,2.2,2.6,£7.1,0.324,0.366,0.366,0.380,0.394,0.380,0.394,0.380,0.366,0.366
Lamela, Erik,TOT,0.9,0.9,1.2,1.0,1.0,1.0,1.3,1.1,1.3,1.1,0.9,1.1,1.2,1.1,0.9,1.1,0.9,1.1,0.8,1.0,£5.7,0.158,0.175,0.175,0.193,0.193,0.193,0.193,0.193,0.193,0.175
Winks, Harry,TOT,0.6,0.6,0.7,0.6,0.6,0.6,0.8,0.7,0.8,0.7,0.6,0.7,0.8,0.7,0.6,0.7,0.6,0.7,0.6,0.7,£5.2,0.115,0.115,0.115,0.135,0.135,0.135,0.135,0.135,0.135,0.135
Wanyama, Victor,TOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sissoko, Moussa,TOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,1.8,0.7,2.4,1.0,1.8,1.1,1.8,1.1,1.7,1.2,£4.8,0.000,0.000,0.000,0.000,0.104,0.146,0.208,0.229,0.229,0.250
Dier, Eric,TOT,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,£4.8,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
Amos, Luke,TOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Skipp, Oliver,TOT,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,£4.3,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
Ndombele, Tanguy,TOT,0.8,0.8,1.1,1.0,0.9,0.9,1.2,1.0,1.1,1.0,0.8,1.0,1.1,1.0,0.8,1.0,0.8,1.0,0.8,0.9,£5.8,0.138,0.172,0.155,0.172,0.172,0.172,0.172,0.172,0.172,0.155
Lo Celso, Giovani,TOT,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,£7.3,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055
Sessegnon, Ryan,TOT,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,£5.4,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037
Nkoudou, Georges-Kévin,TOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£5.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
